URL,Preço sem desconto,Preço com desconto
https://www.farmaciasindependente.com.br/cloridrato-de-metoclopramida-4mg-gotas-10ml-teuto,"R$ 7,14","R$ 5,06"
https://www.farmaciasindependente.com.br/past-eno-4und-menta,,"R$ 5,59"
https://www.farmaciasindependente.com.br/miosan-caf-10mg-15comprimidos,,"R$ 34,37"
https://www.farmaciasindependente.com.br/evra-3-adesivos,"R$ 134,13","R$ 118,62"
https://www.farmaciasindependente.com.br/acido-mefenamico-500mg-24-comprimidos-medley,"R$ 24,26","R$ 22,13"
https://www.farmaciasindependente.com.br/predsim-20mg-10comprimidos,,"R$ 38,23"
https://www.farmaciasindependente.com.br/gastrol-20-pastilhas,,"R$ 18,44"
https://www.farmaciasindependente.com.br/succinato-de-sumatriptana-50mg-2-comprimidos-eurowlabs,"R$ 29,84","R$ 16,88"
https://www.farmaciasindependente.com.br/sigmatriol-025mg-30capsulas,"R$ 160,29","R$ 134,15"
https://www.farmaciasindependente.com.br/selozok-25mg-30comprimidos,"R$ 39,58","R$ 31,17"
https://www.farmaciasindependente.com.br/resfenol-20-capsulas,"R$ 23,99","R$ 20,49"
https://www.farmaciasindependente.com.br/naramig-25mg-4comprimidos,"R$ 26,87","R$ 23,03"
https://www.farmaciasindependente.com.br/acnezil-gel-5-20g,,"R$ 16,79"
https://www.farmaciasindependente.com.br/paracetamol-750mg-4-comprimidos-ems,"R$ 5,17","R$ 4,11"
https://www.farmaciasindependente.com.br/tropinal-300mg-65mcg-104mcg-solucao-oral-com-15ml,,"R$ 27,73"
https://www.farmaciasindependente.com.br/cloridrato-de-fexofenadina-180mg-10-comprimidos-cimed,"R$ 77,42","R$ 41,92"
https://www.farmaciasindependente.com.br/novalgina-1g-4comprimidos,"R$ 11,74","R$ 11,68"
https://www.farmaciasindependente.com.br/bronquivita-xarope-150ml,"R$ 27,20","R$ 19,98"
https://www.farmaciasindependente.com.br/qlaira-28comprimidos,"R$ 72,48","R$ 57,68"
https://www.farmaciasindependente.com.br/simeticona-75mg-gotas-15ml-medley,,"R$ 12,28"
https://www.farmaciasindependente.com.br/acetato-de-dexametasona-4mg-10-comprimidos-teuto,"R$ 15,97","R$ 10,49"
https://www.farmaciasindependente.com.br/fluconazol-150mg-1-capsula-cimed,"R$ 13,74","R$ 8,09"
https://www.farmaciasindependente.com.br/mioflex-a-12comprimidos,"R$ 25,82","R$ 24,70"
https://www.farmaciasindependente.com.br/naldecon-pack-dia-noite-6comprimidos,,"R$ 17,40"
https://www.farmaciasindependente.com.br/busonid-50mcg-nasal-120-doses,"R$ 44,64","R$ 37,76"
https://www.farmaciasindependente.com.br/belara-21cpr,"R$ 64,25","R$ 53,48"
https://www.farmaciasindependente.com.br/salsep-solucao-nasal-50ml,,"R$ 24,88"
https://www.farmaciasindependente.com.br/fenergan-20comprimidos,,"R$ 19,02"
https://www.farmaciasindependente.com.br/prednisona-5mg-20-comprimidos-biosintetica,"R$ 16,14","R$ 13,24"
https://www.farmaciasindependente.com.br/damater-30capsulas,"R$ 69,95","R$ 58,14"
https://www.farmaciasindependente.com.br/benegrip-multi-dia-4comprimidos,,"R$ 11,49"
https://www.farmaciasindependente.com.br/cloridrato-de-metformina-850mg-30-comprimidos-prati-donaduzzi,"R$ 8,19","R$ 5,67"
https://www.farmaciasindependente.com.br/cataflam-pro-xt-2-emulgel-100g,"R$ 81,90","R$ 78,83"
https://www.farmaciasindependente.com.br/icacort-creme-30g,"R$ 43,80","R$ 40,34"
https://www.farmaciasindependente.com.br/cloridrato-de-ambroxol-15mg-5ml-xarope-pediatrico-120ml-teuto,"R$ 16,53","R$ 16,38"
https://www.farmaciasindependente.com.br/fresh-tears-10ml,"R$ 47,87","R$ 46,34"
https://www.farmaciasindependente.com.br/merthiolate-incolor-30ml,"R$ 26,64","R$ 25,20"
https://www.farmaciasindependente.com.br/dipropionato-de-betametasona-acido-salicilico-pomada-30g-ems,"R$ 28,15","R$ 18,38"
https://www.farmaciasindependente.com.br/pressat-25mg-60comprimidos,"R$ 73,49","R$ 69,32"
https://www.farmaciasindependente.com.br/bisalax-5mg-20-comprimidos,"R$ 8,71","R$ 8,19"
https://www.farmaciasindependente.com.br/pantogar-men-30capsulas,,"R$ 179,61"
https://www.farmaciasindependente.com.br/cetoprofeno-150mg-10-comprimidos-ems,"R$ 51,73","R$ 23,99"
https://www.farmaciasindependente.com.br/novalgina-gotas-10ml,"R$ 16,04","R$ 15,98"
https://www.farmaciasindependente.com.br/diprosone-creme-30g,"R$ 53,55","R$ 50,93"
https://www.farmaciasindependente.com.br/gelol-pomada-20g,,"R$ 23,99"
https://www.farmaciasindependente.com.br/cloridrato-de-metformina-850mg-30-capsulas-teuto,"R$ 13,27","R$ 8,58"
https://www.farmaciasindependente.com.br/nebacetin-pomada-50g,"R$ 51,24","R$ 49,10"
https://www.farmaciasindependente.com.br/carvedilol-25mg-30-comprimidos-medley,"R$ 88,03","R$ 29,54"
https://www.farmaciasindependente.com.br/arulatan-sol-oft-25ml,,"R$ 162,80"
https://www.farmaciasindependente.com.br/sorine-h-3-50ml,,"R$ 26,35"
https://www.farmaciasindependente.com.br/carvedilol-625mg-30-comprimidos-medley,"R$ 45,24","R$ 31,97"
https://www.farmaciasindependente.com.br/brasart-160mg-30comprimidos-94040907,,"R$ 51,82"
https://www.farmaciasindependente.com.br/puran-t4-125mcg-30comprimidos-46175,,"R$ 3,70"
https://www.farmaciasindependente.com.br/buscopan-20drageas,,"R$ 22,23"
https://www.farmaciasindependente.com.br/benegrip-6drageas,,"R$ 12,55"
https://www.farmaciasindependente.com.br/sal-fruta-eno-100g-guarana,"R$ 28,07","R$ 19,99"
https://www.farmaciasindependente.com.br/vitamina-c-targifor-cewin-500mg-30-comprimidos,"R$ 37,50","R$ 35,01"
https://www.farmaciasindependente.com.br/yaz-flex-30comprimidos,"R$ 137,90","R$ 115,26"
https://www.farmaciasindependente.com.br/azelan-150mg-g-gel-com-30g,"R$ 91,45","R$ 91,12"
https://www.farmaciasindependente.com.br/apresolina-25mg-20comprimidos,"R$ 9,94","R$ 9,48"
https://www.farmaciasindependente.com.br/carmed-hidratante-labial-reparador-acido-hialuronico-incolor-10g,,"R$ 27,79"
https://www.farmaciasindependente.com.br/tylenol-750mg-20comprimidos,"R$ 45,09","R$ 43,04"
https://www.farmaciasindependente.com.br/rinosoro-jet-09-jato-continuo-100ml,"R$ 49,08","R$ 39,90"
