ean,produto,marca,farmacia,preco com desconto,preco sem desconto,% desconto,descricao
7500435197021,Máscara de Tratamento Pantene Booster Colágeno 90ml,PANTENE,A Nossa Drogaria,13.49,17.54,23.09007981755986,Máscara de tratamento turbinado pantene pro-v miracles booster proteção colágeno hidrata & resgata bisnaga 90ML Pantene Booster Proteção contém uma fó
4005900904638,Protetor Solar Facial Nivea Sun Tripla Proteção Antissinais FPS50 40ml,NIVEA SUN,A Nossa Drogaria,71.99,93.59,23.07938882359227,"Nivea Sun Facial Triple Protect Antissinais é um filtro solar que oferece muita alta proteção contra os raios UVA, UVB e radicais livres causados pela"
4005900980397,Protetor Solar Nivea Sun Toque Seco Antissinais 40ml,NIVEA SUN,A Nossa Drogaria,48.99,63.69,23.080546396608568,Protetor solar facial com textura leve e toque seco. Agora com novo FPS 70! Deixa a pele macia e ainda previne o envelhecimento. Oferece muito alta pr
4005900904614,Protetor Solar Facial Nivea Sun Tripla Proteção Pele Radiante FPS50 40ml,NIVEA SUN,A Nossa Drogaria,71.99,93.59,23.07938882359227,"Nivea Sun Facial Triple Protect pele Radiante é um filtro solar que oferece muita alta proteção contra os raios UVA, UVB e radicais livres causados pe"
4005900904621,Protetor Solar Facial Nivea Sun Tripla Proteção Antiacne FPS50 40ml,NIVEA SUN,A Nossa Drogaria,71.99,93.59,23.07938882359227,"Nivea Sun Facial Triple Protect Antiacne é um filtro solar que oferece muita alta proteção contra os raios UVA, UVB e radicais livres causados pela lu"
0000042428831,Creme para Mãos Nivea Luminous 630 50g,NIVEA,A Nossa Drogaria,49.89,68.89,27.58020031934969,NOVO NIVEA Creme de Mãos LUMINOUS630 ANTIMANCHAS. A fórmula inovadora enriquecida com LUMINOUS630 e Ácido Hialurónico reduz as manchas nas mãos e prev
4005900937391,Sabonete em Gel Nivea Mousse de Limpeza Aqua Rose 150ml,NIVEA,A Nossa Drogaria,51.89,51.89,0.0,Sabonete Micelar Facial com Água de Rosas - Edição Limitada. Sua fórmula combina a Tecnologia micelar com a suavidade da Água de rosas. Sua pele limpa
4005900991874,Gel Pós Sol Reparador Nivea Sun 175ml,NIVEA SUN,A Nossa Drogaria,52.99,68.89,23.080272898824205,NIVEA Sun Gel Pós Sol Reparador 175ml é um loção em gel com textura leve e refrescante para acalmar e prevenir a vermelhidão da pele causada pelo sol.
7500435187886,Shampoo Anticaspa Head & Shoulders Men Old Spice 400ml,HEAD&SHOULDERS,A Nossa Drogaria,41.79,41.79,0.0,O shampoo anticaspa para homens Head & Shoulders MEN com fragrância Old Spice é uma experiência refrescante e cheirosa para seu banho.Nossa fórmula po
7500435173780,Kit Shampoo Head & Shoulders Men Old Spice com 2 Unidades 200ml Cada,HEAD&SHOULDERS,A Nossa Drogaria,36.89,36.89,0.0,O shampoo anticaspa para homens Head & Shoulders MEN com fragrância Old Spice é uma experiência refrescante e cheirosa para seu banho. Nossa fórmula p
7897411603141,Loxonin Flex 100mg com 7 Adesivos,LOXONIN,A Nossa Drogaria,106.99,117.88,9.23820834747201,
7509546678832,Sabonete em Barra Protex Carvão Detox 85g,PROTEX,A Nossa Drogaria,3.99,5.19,23.121387283236995,"Fortalece as defesas naturais da pele, criando um efeito detox de dentro para fora. Elimina 99.9% das bactérias naturalmente."
7899547536164,Canabidiol 20mg/ml Suspensão Oral 30ml Prati,CANABIDIOL,A Nossa Drogaria,279.99,337.03,16.92430940865798,
7896914002857,Fralda Looping Looney Tunes Hiper XXG com 46 unidades,LOONEY TUNES,A Nossa Drogaria,59.99,77.99,23.079882036158473,"Fralda Infantil Looney Tunes foi desenvolvida com a tecnologia japonesa, possui super gel absorvente oferecendo mais proteção nas trocas, cobertura co"
7896914002734,Fralda Looping Looney Tunes Hiper G com 56 unidades,LOONEY TUNES,A Nossa Drogaria,59.99,77.99,23.079882036158473,"Fralda Infantil Looney Tunes foi desenvolvida com a tecnologia japonesa, possui super gel absorvente oferecendo mais proteção nas trocas, cobertura co"
7896112403258,Doss 15.000 UI com 4 Cápsulas,DOSS,A Nossa Drogaria,31.99,36.46,12.260010970927048,"Doss é indicado para o tratamento da hipovitaminose D, em adultos e crianças a partir de 12 anos, além de contribuir para: - Formação de ossos e dente"
7896714291246,Vitaminas Neo Química Cabelos e Unhas com 60 Cápsulas,CENTROTABS,A Nossa Drogaria,19.99,25.99,23.08580223162755,"Neo Química Cabelos e Unhas é um multivitamínico indicado para complementar as suas necessidades nutricionais, em dose certa. Sua fórmula contém Bioti"
7896914002727,Fralda Looping Looney Tunes Hiper M com 66 unidades,LOONEY TUNES,A Nossa Drogaria,59.99,77.99,23.079882036158473,"Fralda Infantil Looney Tunes foi desenvolvida com a tecnologia japonesa, possui super gel absorvente oferecendo mais proteção nas trocas, cobertura co"
7896112403265,Doss 15000 UI com 8 Cápsulas,DOSS,A Nossa Drogaria,47.99,61.26,21.661769507019258,"Doss é indicado para o tratamento da hipovitaminose D, em adultos e crianças a partir de 12 anos, além de contribuir para: - Formação de ossos e dente"
7891158105722,Suplemento Nutricional Ensure Pó Advanced Café 400g,ENSURE,A Nossa Drogaria,96.29,100.29,3.9884335427260886,
