URL,Preço sem desconto,Preço com desconto,% de desconto
https://www.farmaciarosario.com.br//floral-therapi-tpcolic-30ml,"R$ 29,90","R$ 23,92", -20%
https://www.farmaciarosario.com.br//fixenato-150mg-2-comprimidos,"R$ 278,96","R$ 239,57", -14%
https://www.farmaciarosario.com.br//peridal-10mg-30comprimidos,"R$ 26,14","R$ 24,12", -7.7%
https://www.farmaciarosario.com.br//floral-therapi-eu-desculpo-30ml,"R$ 29,90","R$ 23,92", -20%
https://www.farmaciarosario.com.br//floralyte-45-guarana-solucao-500ml,"R$ 23,10","R$ 20,33", -12%
https://www.farmaciarosario.com.br//domperidona-xarope-100ml-500931,"R$ 49,68","R$ 27,38", -45%
https://www.farmaciarosario.com.br//vonaugasmax-250mg-20capsulas,"R$ 49,24","R$ 49,24",
https://www.farmaciarosario.com.br//omater-gest-30capsulas,"R$ 113,99","R$ 91,19", -20%
https://www.farmaciarosario.com.br//equaliv-cartiliv-ultra-mdk-60capsulas,"R$ 200,59","R$ 200,59",
https://www.farmaciarosario.com.br//xantinon-30drageas,"R$ 13,16","R$ 12,31", -6.5%
https://www.farmaciarosario.com.br//floral-therapi-viver-bem-30ml,"R$ 29,90","R$ 23,92", -20%
https://www.farmaciarosario.com.br//prosso-d-km-1000ui-30comprimidos,"R$ 128,12","R$ 128,12",
https://www.farmaciarosario.com.br//peridal-10mg-60comprimidos,"R$ 49,79","R$ 42,99", -14%
https://www.farmaciarosario.com.br//dprev-todo-dia-1-000ui-30-capsulas,"R$ 27,09","R$ 23,84", -12%
https://www.farmaciarosario.com.br//sintezys-150mg-1comprimidos,"R$ 102,43","R$ 85,02", -17%
https://www.farmaciarosario.com.br//puran-t4-25mcg-30comprimidos,"R$ 17,20","R$ 14,29", -17%
https://www.farmaciarosario.com.br//vitergan-zinco-30comprimidos,"R$ 98,16","R$ 82,45", -16%
https://www.farmaciarosario.com.br//calde-k2-30comprimidos,"R$ 110,99","R$ 101,05", -9.0%
https://www.farmaciarosario.com.br//levotiroxina-sodica-100mcg-30comprimidos,"R$ 9,80","R$ 5,79", -41%
https://www.farmaciarosario.com.br//floral-therapi-semciumes-30ml,"R$ 29,90","R$ 23,92", -20%
https://www.farmaciarosario.com.br//levotiroxina-sodica-25mcg-30comprimidos,"R$ 10,40","R$ 6,09", -41%
https://www.farmaciarosario.com.br//hidraplex-po-agua-de-coco-4env,"R$ 16,85","R$ 16,68",
https://www.farmaciarosario.com.br//noripurum-gotas-takeda-30ml,"R$ 44,71","R$ 34,41", -23%
https://www.farmaciarosario.com.br//levotiroxina-sodica-150mcg-30comprimidos,"R$ 15,48","R$ 9,69", -37%
https://www.farmaciarosario.com.br//imecap-hair-max-30-capsulas,"R$ 59,90","R$ 35,90", -40%
https://www.farmaciarosario.com.br//ressaliv-1-flaconete-10ml-abacaxi,"R$ 1,19","R$ 1,19",
https://www.farmaciarosario.com.br//euthyrox-25mcg-50comprimidos,"R$ 36,00","R$ 30,30", -16%
https://www.farmaciarosario.com.br//floral-therapi-sem-solidao-30ml,"R$ 29,90","R$ 23,92", -20%
https://www.farmaciarosario.com.br//cartimaster-condroitina-msm-60-capsulas,"R$ 166,56","R$ 59,99", -64%
https://www.farmaciarosario.com.br//benestare-625mg-30comprimidos,"R$ 50,84","R$ 44,74", -12%
https://www.farmaciarosario.com.br//floralyte-90-natural-solucao-500ml,"R$ 24,22","R$ 22,52", -7.0%
