,sku,produto,marca,farmacia,preco com desconto,preco sem desconto,% desconto,descricao
8201,12298,Desodorante Antitranspirante Roll On Nivea Men Original Protect 50ml,Reach,Drogal,13.79,13.79,0.0,Compre Fio Dental Johnson & Johnson Reach Expansion Plus Sabor Menta 50m com melhor preço e condição na farmácia online Drogal.
8202,9990903,Creme de Pentear Seda Nina Secrets Colágeno + Vitamina C 300ml,Seda,Drogal,10.95,10.95,0.0,Compre Creme de Pentear Seda Nina Secrets Colágeno + Vitamina C 300ml com melhor preço e condição na farmácia online Drogal.
8203,11573,Creme de Barbear 2 em 1 Nivea Men Sensitive 65g,Nivea Men,Drogal,33.45,33.45,0.0,Compre Espuma de Barbear Nivea Men Original Protect 200ml com melhor preço e condição na farmácia online Drogal.
8204,9230998,Fio Dental Johnson & Johnson Reach Expansion Plus Sabor Menta 50m,Nivea Men,Drogal,15.75,15.75,0.0,Compre Creme de Barbear 2 em 1 Nivea Men Sensitive 65g com melhor preço e condição na farmácia online Drogal.
8205,12336,Desodorante Antitranspirante Aerosol Dove Beauty Finish 150ml,Dove,Drogal,18.75,18.75,0.0,Compre Desodorante Antitranspirante Aerosol Dove Beauty Finish 150ml com melhor preço e condição na farmácia online Drogal.
8206,6720080,Lenço De Papel Kleenex 10 Lenços,Kleenex,Drogal,2.55,2.55,0.0,Compre Lenço De Papel Kleenex 10 Lenços com melhor preço e condição na farmácia online Drogal.
8207,5660059,Protetor Diário Carefree Todo Dia sem Perfume 80 Unidades,Carefree,Drogal,25.75,25.75,0.0,"Protetor diário Carefree Todo Dia é o protetor diário sem fragrância, ideal para quando não estamos naqueles dias. Na Drogal você encontra os melhores produtos."
8208,10821,Toalhas Umedecidas para Adultos Qualifral 40 Unidades,Qualifral,Drogal,17.99,17.99,0.0,As toalhas umedecidas tem tamanho apropriado para o adulto. Na Drogal você encontra os melhores produtos.
8209,6780261,Shampoo Flores e Vegetais Jaborandi e Arnica 310ml,Lux,Drogal,2.55,2.55,0.0,Compre Sabonete em Barra Lux Botanicals Orquídea Negra 85g com melhor preço e condição na farmácia online Drogal.
8210,11298,Escova Dental Oral-B Indicator Plus 30 - 2 Unidades,Oral B,Drogal,18.99,18.99,0.0,Compre Escova Dental Oral-B Indicator Plus 30 - 2 Unidades com melhor preço e condição na farmácia online Drogal.
8211,9982688,Sabonete em Barra Lux Botanicals Orquídea Negra 85g,Flores e Vegetais,Drogal,21.39,21.39,0.0,"O Shampoo Flores & Vegetais Jaborandi & Arnica, foi elaborado com Extratos Vegetais de Jaborandi e Arnica, cuja principal função é ajudar a aumentar a força e o volume dos cabelos. Na Drogal você encontra os melhores produtos para a beleza."
8212,9989126,Sabonete em Barra Phebo Mandarina Asiática 100g,Phebo,Drogal,5.75,5.75,0.0,Compre Sabonete em Barra Phebo Mandarina Asiática 100g com melhor preço e condição na farmácia online Drogal.
8213,9982925,Kit Sabonete Líquido Íntimo Dermolux Mulher Delicat 2 Unidades 200ml,Dermolux,Drogal,17.99,17.99,0.0,Compre Kit Sabonete Líquido Íntimo Dermolux Mulher Delicat 2 Unidades 200ml com melhor preço e condição na farmácia online Drogal.
8214,9991768,Gel Dental Colgate Natural Extracts Carvão Ativado e Menta 140g,Colgate,Drogal,13.79,13.79,0.0,Compre Gel Dental Colgate Natural Extracts Carvão Ativado e Menta 140g com melhor preço e condição na farmácia online Drogal.
8215,6068910,Shampoo Anticaspa Clear Women Hidratação Intensa 400ml,Vasenol,Drogal,12.85,12.85,0.0,Compre Loção Hidratante Corporal Vasenol Nutrição 200ml com melhor preço e condição na farmácia online Drogal.
8216,6060109,Loção Hidratante Corporal Vasenol Nutrição 200ml,Clear,Drogal,29.65,29.65,0.0,Compre Shampoo Anticaspa Clear Women Hidratação Intensa 400ml com melhor preço e condição na farmácia online Drogal.
8217,6060112,Loção Desodorante Hidratante Vasenol Recuperação Intensiva Reparadora 200ml,Vasenol,Drogal,22.05,22.05,0.0,Compre Loção Desodorante Hidratante Vasenol Recuperação Intensiva Reparadora 200ml com melhor preço e condição na farmácia online Drogal.
8218,1011979,Antisséptico Bucal Listerine Cool Mint Hortelã 500ml,Listerine,Drogal,26.49,26.49,0.0,"O Antisséptico Bucal Listerine Cool Mint Elimina até 99,9% dos germes promovendo refrescância prolongada, Sabor Intenso com maior explosão. Você encontra os melhores produtos de higiene na Drogal."
8219,6091300,Sabonete em Barra Dove Delicious Care Karité e Baunilha 90g,Dove,Drogal,4.59,4.59,0.0,Compre Sabonete em Barra Dove Delicious Care Karité e Baunilha 90g com melhor preço e condição na farmácia online Drogal.
8220,5100102,Desodorante Roll-On Nivea Men Black & White Invisible 50ml - 2 unidades,Nivea Men,Drogal,14.54,14.54,0.0,"Desodorante Nivea Men Invisible For Black & White Roll-on evita o aparecimento de manchas brancas e amarelas nas roupas.

Kit Contém:
- 2 Desodorantes Roll On Nivea Men Invisible For Black & White com 50ml cada."
8221,9983790,Desodorante Antitranspirante Spray Old Spice Lenha 150ml,Clear,Drogal,26.29,26.29,0.0,Compre Shampoo Anticaspa Clear Hidratação Intensa 400ml com melhor preço e condição na farmácia online Drogal.
8222,9995507,Shampoo Anticaspa Clear Hidratação Intensa 400ml,Old Spice,Drogal,18.89,18.89,0.0,Compre Desodorante Spray Antitranspirante Old Spice Lenha 150ml com melhor preço e condição na farmácia online Drogal.
8223,9984663,Desodorante Antitranspirante Aerosol Rexona Frutas Vermelhas 150ml,Rexona,Drogal,15.85,15.85,0.0,Compre Desodorante Antitranspirante Aerosol Rexona Frutas Vermelhas 150ml com melhor preço e condição na farmácia online Drogal.
