url,preco com desconto,preco sem desconto
https://www.santoremedio.com.br/copo-buba-trein-alca-remov-fund-mar-azul,"R$ 32,99","R$ 32,99"
https://www.santoremedio.com.br/copo-buba-trein-alca-remov-fund-mar-rosa,"R$ 32,99","R$ 32,99"
https://www.santoremedio.com.br/conchas-buba-prot-p-amamentacao,"R$ 20,52","R$ 36,99"
https://www.santoremedio.com.br/colher-infantil-aviao-referencia-7288-buba,"R$ 10,99","R$ 10,99"
https://www.santoremedio.com.br/colher-dosadora-rosa-buba-ref-5989-buba-un,"R$ 36,99","R$ 36,99"
https://www.santoremedio.com.br/colher-buba-dosadora-silic-azul,"R$ 36,99","R$ 36,99"
https://www.santoremedio.com.br/colher-buba-anatomica-silicone,"R$ 15,99","R$ 15,99"
https://www.santoremedio.com.br/fralda-tripla-protecao-tamanho-xg-com-22-unidades,"R$ 41,99","R$ 41,99"
https://www.santoremedio.com.br/kit-inf-monica-sh-cond-gt-jog-c-260ml,"R$ 24,69","R$ 24,69"
https://www.santoremedio.com.br/sab-gb-baby-kids-vegetal-retang-gaby-90g,"R$ 4,49","R$ 4,49"
https://www.santoremedio.com.br/mucilon-snack-abobrinha-35g,"R$ 4,49","R$ 4,49"
https://www.santoremedio.com.br/sab-liq-dove-baby-hora-de-dormir-400ml,"R$ 32,99","R$ 32,99"
https://www.santoremedio.com.br/fralda-huggies-natural-care-rn-com-34-unidades,"R$ 34,90","R$ 48,99"
https://www.santoremedio.com.br/fralda-pompom-classica-g-jumbo-pacote-de-24unidades,"R$ 31,99","R$ 31,99"
https://www.santoremedio.com.br/fralda-descartavel-infantil-pompom-classica-xg-pacote-20un,"R$ 31,99","R$ 31,99"
https://www.santoremedio.com.br/fralda-pom-pom-classica-mega-g-com-44-unidades,"R$ 48,99","R$ 48,99"
https://www.santoremedio.com.br/fralda-descartavel-infantil-pom-pom-classica-p-pacote-54un,"R$ 60,99","R$ 60,99"
https://www.santoremedio.com.br/fralda-pom-pom-classica-mega-xg-com-36-unidades,"R$ 54,99","R$ 54,99"
https://www.santoremedio.com.br/fralda-descartavel-infantil-pom-pom-classica-xxg-pacote-32un,"R$ 54,99","R$ 54,99"
https://www.santoremedio.com.br/fralda-pompom-derma-protek-m-28-unidades,"R$ 35,99","R$ 35,99"
