,ids
2143,108397
2144,492580
2145,120637
2146,198200
2147,198188
2148,434440
2149,626150
2150,403730
2151,104167
2152,52550
2153,112123
2154,112993
2155,110190
2156,114483
2157,110054
2158,96828
2159,98016
2160,99879
2161,99881
2162,99952
2163,96373
2164,120330
2165,943860
2166,693680
2167,859230
2168,865690
2169,874150
2170,883130
2171,10007458
2172,103005
2173,106602
2174,103986
2175,104424
2176,113687
2177,113871
2178,113882
2179,117333
2180,119937
2181,119928
2182,120310
2183,99523
2184,105183
2185,109513
2186,881280
2187,103447
2188,97225
2189,97374
2190,97647
2191,99902
2192,98228
2193,108082
2194,120636
2195,427240
2196,620170
2197,107772
2198,107837
2199,104371
2200,113619
2201,113639
2202,113743
2203,113617
2204,113022
2205,109898
2206,96897
2207,96882
2208,96899
2209,97939
2210,96317
2211,96152
2212,116935
2213,117469
2214,119233
2215,10001927
2216,901310
2217,100334
2218,100329
2219,100476
2220,102446
2221,102259
2222,105962
2223,100917
2224,109311
2225,110461
2226,110026
2227,96898
2228,97263
2229,98160
2230,99757
2231,99260
2232,116692
2233,412730
2234,531690
2235,471280
2236,472040
2237,941090
2238,829470
2239,876370
2240,10014274
2241,100327
2242,100264
2243,102257
2244,101903
2245,101811
2246,101871
2247,101928
2248,102183
2249,102192
2250,105493
2251,105809
2252,103120
2253,100962
2254,113378
2255,112320
2256,109043
2257,110764
2258,114479
2259,96865
2260,97775
2261,98234
2262,99455
2263,99830
2264,96227
2265,96522
2266,96777
2267,98647
2268,96097
2269,107934
2270,111647
2271,116024
2272,119363
2273,470050
2274,919470
2275,936760
2276,832970
2277,859190
2278,881080
2279,106649
2280,104076
2281,103351
2282,104543
2283,104560
2284,100926
2285,101368
2286,108810
2287,108889
2288,113024
2289,115324
2290,96864
2291,97533
2292,99497
2293,96508
2294,98976
2295,111188
2296,111451
2297,116529
2298,116009
2299,516140
2300,564730
2301,620130
2302,985420
2303,817790
2304,928820
2305,884210
2306,10002614
2307,102176
2308,104145
2309,104383
2310,103356
2311,104764
2312,104820
2313,101344
2314,113741
2315,109039
2316,109258
2317,112640
2318,110029
2319,96835
2320,97087
2321,97472
2322,97583
2323,98170
2324,98142
2325,96667
2326,881190
2327,701230
2328,817840
2329,821350
2330,95809
2331,96008
2332,96034
2333,835950
2334,10001657
2335,10008111
2336,111350
2337,368491
2338,107309
2339,107776
2340,114389
2341,116870
2342,117256
2343,117795
2344,119269
2345,112007
2346,112426
2347,118380
2348,113261
2349,113365
2350,108907
2351,96825
2352,97585
2353,98143
2354,99504
2355,99883
2356,96523
2357,99289
2358,110952
2359,662330
2360,662360
2361,600880
2362,842140
2363,848230
2364,100342
2365,106483
2366,101888
2367,103619
2368,105248
2369,100912
2370,113372
2371,113881
2372,113880
2373,113884
2374,117797
2375,112025
2376,112389
2377,112995
2378,112996
2379,110285
2380,99350
2381,99522
2382,99519
2383,109099
2384,109259
2385,110779
2386,96904
