,Título,Marca,Preço sem Desconto,Preço com Desconto,ID,SKU
145,PROTETOR SOLAR FACIAL VICHY FPS70 IDEAL SOLEIL MEDIO 40...,LOREAL,,"R$ 88,90",9990048,102723
146,VICHY DERCOS SHAMPOO MICROPEEL ANTICASPA 150G,LOREAL BR- DIV DCA VICHY,,"R$ 89,90",4778901,93310
147,Desodorante Vichy Cremeso 7 dias 30ml,LOREAL BR- DIV DCA VICHY,,"R$ 139,90",4778635,90259
148,Normaderm Vichy Loção Tônica Adstringente 200ml,LOREAL BR- DIV DCA VICHY,"R$ 189,76","R$ 175,90",4774603,98729
149,Shampoo Vichy Dercos Kera-Solutions 300mL,LOREAL BR- DIV DCA VICHY,,"R$ 92,90",4778622,90247
150,VICHY DESODORANTE ROLL-ON 48H PARA PELES SENSIVEIS 50ML,LOREAL BR- DIV DCA VICHY,,"R$ 139,90",4778675,96615
151,VICHY NORMADERM GEL DE LIMPEZA PROFUNDA PELE MISTA A OL...,VICHY,,"R$ 65,90",4778671,93311
152,VICHY SERUM MINERAL 89 HIDRATANTE FACIAL 50ML,LOREAL BR- DIV DCA VICHY,,"R$ 199,90",4775701,98727
153,Condicionador Vichy Dercos Kera-Solutions 200mL,LOREAL BR- DIV DCA VICHY,,"R$ 89,90",4779911,90246
154,Desodorante Roll-On Vichy Ideal Finish 30ml,LOREAL BR- DIV DCA VICHY,,"R$ 132,90",4776104,98845
155,IDEAL SOLEIL VICHY HYDRASOFT FPS70 200ML,LOREAL BR- DIV DCA VICHY,,"R$ 124,90",4778904,91426
156,Loção Sérum Corporal Vichy Ideal Body Hidratante Anti-i...,LOREAL BR- DIV DCA VICHY,,"R$ 186,90",4779926,97172
157,"Protetor Solar Vichy Ideal Soleil Clarify claro, FPS 60...",LOREAL BR- DIV DCA VICHY,,"R$ 98,65",4778676,96927
158,Tratamento Antiacne Vichy Normaderm Skin Corrector 30m,LOREAL BR- DIV DCA VICHY,,"R$ 154,90",4778641,90233
159,VICHY AGUA TERMAL 50ML,LOREAL BR- DIV DCA VICHY,,"R$ 94,90",4779902,90253
160,VICHY DERCOS MASCARA CAPILAR KERA SOLUTIONS 200ML,LOREAL BR- DIV DCA VICHY,,"R$ 139,90",4778655,93322
161,Vichy Dercos Shampoo Anticaspa Intensivo 200ml,LOREAL BR- DIV DCA VICHY,,"R$ 102,90",9991453,104145
162,VICHY DERCOS SHAMPOO REFIL ENERGIZANTE 200ML,VICHY,,"R$ 83,90",4778677,97169
163,VICHY DERCOS SUPER AMPOLA ENERGIZANTE 40ML,LOREAL BR- DIV DCA VICHY,,"R$ 59,55",4778666,91790
164,VICHY DESODORANTE ANTITRANSPIRANTE STRESS RESIST 50ML,LOREAL BR- DIV DCA VICHY,,"R$ 139,90",9990141,102817
165,VICHY LIFTACTIV SERUM COM AÇAO PRO-COLAGENO PEPTIDE-AHA...,LOREAL BR- DIV DCA VICHY,,"R$ 249,90",9990179,102855
166,VICHY SERUM MINERAL 89 CONCENTRADO PARA OLHOS 15ML,LOREAL BR- DIV DCA VICHY,,"R$ 219,24",4779931,97175
167,Creme Anti-Idade Area dos Olhos Liftactiv Vichy Supreme...,LOREAL BR- DIV DCA VICHY,,"R$ 198,10",4778678,98473
168,Gel de Limpeza Profunda Vichy Normaderm 1 unidade com 3...,LOREAL BR- DIV DCA VICHY,,"R$ 93,90",4778664,91463
169,Normaderm Gel Limpeza 60g,LOREAL BR- DIV DCA VICHY,,"R$ 50,15",4778606,90263
170,Shampoo Dercos Energizante Antiqueda 200ml,LOREAL BR- DIV DCA VICHY,,"R$ 110,90",4778670,93323
171,VICHY DERCOS SHAMPOO ANTICASPA E COURO CABELUDO SENSIVE...,LOREAL BR- DIV DCA VICHY,,"R$ 108,90",4779922,96096
172,VICHY DERCOS SHAMPOO ENERGY+ANTI QUEDA 400ML,LOREAL BR- DIV DCA VICHY,,"R$ 157,90",4778657,91473
173,VICHY ESPUMA DE LIMPEZA PURETE THERMALE 150ML,LOREAL BR- DIV DCA VICHY,,"R$ 141,35",4779927,97173
174,VICHY IDEAL SOLEIL PROTETOR SOLAR FACIAL CLARIFY COR ME...,LOREAL BR- DIV DCA VICHY,,"R$ 98,65",4779930,97171
175,VICHY IDEAL SOLEIL PROTETOR SOLAR FACIAL EFEITO BASE CO...,LOREAL BR- DIV DCA VICHY,,"R$ 74,90",4774907,93317
176,VICHY LIFTACTIV ANTI-IDADE RETINOL HA ADVANCED 30ML,LOREAL BR- DIV DCA VICHY,,"R$ 355,90",4778669,93319
177,VICHY NEOVADIOL 50ML,LOREAL BR- DIV DCA VICHY,,"R$ 269,90",4778679,98641
178,VICHY NEOVADIOL PHYTOSCULPT 50ML 7182,LOREAL BR- DIV DCA VICHY,,"R$ 285,90",514301,67703
179,BEPANTOL DERMA MULTIRRESTAURADOR 20G,BAYER,,"R$ 29,90",9991110,103795
180,LOCAO CORPORAL BEPANTOL DERMA HIDRATANTE RESTAURADOR 40...,BEPANTOL,"R$ 99,90","R$ 69,90",514901,67705
181,"BEPANTOL DERMA LABIAL 7,5ML*",BAYER,,"R$ 35,90",9990595,103271
182,"BEPANTOL DERMA LABIAL FPS50 4,5G",BAYER,,"R$ 34,90",514303,93640
183,BEPANTOL DERMA SPRAY 50ML*,BAYER,,"R$ 29,90",9991109,103794
184,LOCAO CORPORAL BEPANTOL DERMA HIDRATANTE RESTAURADOR 20...,BEPANTOL,"R$ 64,90","R$ 59,90",514304,93639
185,BEPANTOL DERMA 40G.,BAYER,,"R$ 57,90",9991106,103791
