URL,Preço sem desconto,Preço com desconto
https://farmaciapermanente.com.br/citrato-de-sildenafila-50mg-medley-caixa-4-comprimidos-revestidos,"19,19","13,49"
https://farmaciapermanente.com.br/rehidrat-90-po-4-envelopes,"44,02","41,81"
https://farmaciapermanente.com.br/floratil-po-200mg-4-envelopes,"41,10","40,99"
https://farmaciapermanente.com.br/creme-protetor-hipoglos-80g-amendoas,"59,10","49,99"
https://farmaciapermanente.com.br/clotrimazol-20mg-g-medley-caixa-20g-3-aplicadores-descartaveis,"61,08","43,49"
https://farmaciapermanente.com.br/vick-pyrena-box-mel-e-limao-5env-d,"20,32","15,99"
https://farmaciapermanente.com.br/hidralyte-45-sabor-agua-de-coco-500ml-natulab,"24,66","17,99"
https://farmaciapermanente.com.br/florax-sm-framboesa-25ml-solucao-pediatrica,"41,05","40,50"
https://farmaciapermanente.com.br/neo-loratadin-12-comprimidos-10mg,"16,38","7,99"
https://farmaciapermanente.com.br/floratil-100mg-com-12-capsulas,"53,52","51,99"
https://farmaciapermanente.com.br/tratamento-da-candidiase-gino-canesten-r-comprimido-vaginal-1-dia,"96,31","89,99"
https://farmaciapermanente.com.br/miosan-10mg-apsen-caixa-10-comprimidos-revestidos,"22,65","21,52"
https://farmaciapermanente.com.br/maleato-de-dexclorfeniramina-2mg-neo-quimica,"15,05","10,88"
https://farmaciapermanente.com.br/dipirona-monoidratada-500mg-ml-gotas-20ml-neo-quimica,"21,92","6,49"
https://farmaciapermanente.com.br/pepsogel-240ml-suspensao-legrand,"46,38","29,99"
https://farmaciapermanente.com.br/prednisolona-20mg-ems-caixa-10-comprimidos,"22,06","16,99"
https://farmaciapermanente.com.br/gestamax-plus-60caps,"142,09","134,99"
https://farmaciapermanente.com.br/tamarine-geleia-zero-adicao-de-acucar-150g,"86,68","67,49"
https://farmaciapermanente.com.br/paracetamol-500-mg-prati-donaduzzi,"19,11","14,49"
https://farmaciapermanente.com.br/polaramine-20-comprimidos-revestidos-2mg,"29,31","28,42"
